Angle_11,Angle_12,Angle_13,Angle_14,Angle_23,Angle_24,Angle_25,Angle_26
VID-20250115-WA0017.mp4,39.22946533607901,3.473502277206783,26.1385033950797,75.60049686601367,93.55415606183965,103.36240613508225,166.41032448314982,179.20814151511564
VID-20250115-WA0017.mp4,38.194457311373526,2.567738869332009,24.46614000522982,75.01235070017756,94.20280954076622,102.03057417041465,166.95935627974677,178.05794403362188
VID-20250115-WA0017.mp4,37.90488902304761,2.2646365486882356,23.422656315193567,74.70602763610897,94.63222115551343,101.30665464319314,167.19770282708848,177.50121795317648
VID-20250115-WA0017.mp4,38.58440887569728,2.3703531677037417,23.585713607664363,75.03880198990313,94.99003895433793,100.54721279492003,167.91095511398973,176.84701072907384
VID-20250115-WA0017.mp4,38.65838619110689,2.5621838200035847,23.42440808040547,75.28852093674283,94.87053745874226,100.6580983442519,168.2264507386758,176.7983268162546
VID-20250115-WA0017.mp4,39.565426953519896,3.2357972571731364,23.075853591813893,75.85490095433362,94.97353566320731,100.38681396666891,168.5651962435081,176.66890654402894
VID-20250115-WA0017.mp4,40.239247061103114,3.7819357453498847,22.944850058620336,76.20691459671121,95.06406320110796,100.22117044132851,168.7276971738984,176.49982543239855
VID-20250115-WA0017.mp4,40.67081921345893,4.208324953192996,22.95290489232304,76.34618719435379,95.26048316313194,100.18194508722465,168.6012753572327,176.59248209813683
VID-20250115-WA0017.mp4,41.022393490121516,4.415164619989549,23.05967710706061,76.39445605108736,95.54259142195895,100.26541679220318,168.25053037286943,176.88494060509572
VID-20250115-WA0017.mp4,42.083878222341106,5.38310510746309,21.850775139233196,76.56538319595501,96.34818953801329,99.4757079385974,167.9448166415343,176.72938172911415
VID-20250115-WA0017.mp4,43.099726113421646,6.433167862309159,20.409531832664808,76.55382524628031,97.03885005917039,98.7812536030196,167.7380908018438,176.51553872671906
VID-20250115-WA0017.mp4,43.49703410730079,7.580112262054714,20.048230438346486,77.0457526007149,97.38904350842995,98.6090505746804,167.51217815508483,176.64284829237997
